date,nbrcas,nbcasVilaine
2020-03,445,635
2020-04,2714,4889
2020-05,1306,3094
2020-06,579,1619
2020-07,358,1043
2020-08,200,1032
2020-09,504,1733
2020-10,1117,3169
2020-11,2969,8201
2020-12,793,2813
